,word1,word2,prediction
0,abandon,consigning,-1.5741863789125066
1,abandon,left,-1.6427287256708143
2,abandon,soldier,-1.6537689263024995
3,about,wandering,-1.5768394493693882
4,abstract,moon,-1.656906292019501
5,abstract,rally,-1.8239029678230194
6,abundance,wealth,-1.2586384069988297
7,abuse,access,-1.6456925573698538
8,accepted,accepted,-0.0
9,accepted,acknowledged,-1.1722878577307374
10,access,approach,-1.5981225477199783
11,access,gateway,-1.3965122562826262
12,accommodation,arrangement,-1.5151213259258134
13,accommodation,settlement,-1.5441164814455945
14,accompany,walking,-1.6326226570620117
15,accomplishment,pass,-1.6843804934930147
16,account,invoice,-1.3462965416299308
17,account,statement,-1.5120935102104518
18,acoustic,remedy,-1.7382033769563496
19,acre,earthquake,-1.7499518730063695
20,acrylic,cloth,-1.2952036797971374
21,act,counter,-1.595053341038218
22,act,played,-1.6064551236572524
23,action,adjustment,-1.5203399182676225
24,activity,music,-1.6760652550613584
25,add,increased,-1.6586962706969397
26,add,string,-1.5436792965512254
27,adult,type,-1.5364390731064526
28,advance,advance,-0.0
29,advance,recovery,-1.5006840695641537
30,advance,string,-1.6789070372210892
31,adventure,rail,-1.7062327084632354
32,adventure,sixteen,-1.6689811867838862
33,advice,retail,-1.690044934437864
34,advocate,booster,-1.6666823639970205
35,age,childhood,-1.296656976151833
36,aged,develop,-1.6936098229021253
37,aged,worn,-1.604612194239784
38,agency,office,-1.3576890581025896
39,agent,motor,-1.7238227993275088
40,agent,nature,-1.6674109606509386
41,aim,purpose,-1.1600773012127505
42,air,carnival,-1.6653421930562073
43,air,cold,-1.3772733782859958
44,air,plasma,-1.55602317039221
45,aircraft,asphalt,-1.6535167316639474
46,aircraft,balloon,-1.4986776226193026
47,aircraft,guy,-1.7781903322692798
48,aircraft,yacht,-1.4580296360644092
49,airplane,plane,-0.8014288741465583
50,alarm,horn,-1.5249326640063947
51,alarm,press,-1.6698108539542538
52,albert,einstein,-1.1573372643844202
53,alley,punk,-1.5581196083083735
